CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
5690; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 4 
5736; -   ; -   ; -   ; 3 ; 11 ; 16 ; 5 ; 9 ; 5 ; 4 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 56 
5756; -   ; -   ; -   ; 1 ; -   ; 1 ; 4 ; 2 ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 14 
5761; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 4 
5789; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 3 
5790; -   ; -   ; -   ; 3 ; 3 ; 14 ; 15 ; 9 ; 8 ; 6 ; 3 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; -   ; 67 
5792; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5809; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5819; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
5837; -   ; 1 ; 1 ; 5 ; 10 ; 9 ; 7 ; 8 ; 4 ; 2 ; 2 ; 2 ; 3 ; 1 ; -   ; 1 ; -   ; -   ; 56 
5842; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
5847; -   ; -   ; -   ; 3 ; 4 ; 2 ; 5 ; 6 ; 3 ; 5 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; 31 
5854; -   ; -   ; -   ; 1 ; 2 ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 8 
5856; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
5858; -   ; -   ; -   ; 2 ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
5861; -   ; -   ; -   ; 1 ; 2 ; 2 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 
5885; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 2 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
5887; -   ; -   ; -   ; 4 ; 4 ; 11 ; 7 ; 8 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 38 
5890; -   ; -   ; 1 ; -   ; -   ; 4 ; 1 ; 2 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 12 
5893; -   ; -   ; -   ; -   ; -   ; 4 ; 2 ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
5895; -   ; -   ; -   ; -   ; 2 ; -   ; 3 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 10 
81001; -   ; -   ; -   ; -   ; 1 ; 8 ; 3 ; 3 ; 4 ; 3 ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; 25 
81065; -   ; -   ; -   ; -   ; 1 ; 3 ; 3 ; 2 ; 1 ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
81220; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
81300; -   ; -   ; -   ; -   ; 1 ; 3 ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
81591; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
81736; -   ; -   ; 1 ; 1 ; 1 ; 10 ; 7 ; 4 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 30 
81794; -   ; -   ; -   ; 1 ; 3 ; 4 ; 3 ; 1 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 18 
88001; -   ; -   ; -   ; 2 ; 4 ; 6 ; 8 ; 9 ; 4 ; 2 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; 38 
8078; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
8001; -   ; 1 ; 2 ; 13 ; 24 ; 56 ; 64 ; 41 ; 31 ; 22 ; 18 ; 14 ; 10 ; 3 ; 4 ; -   ; 2 ; -   ; 305 
8137; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
8141; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
8296; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
8372; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
8421; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
8433; -   ; -   ; -   ; 1 ; 3 ; 8 ; 2 ; 8 ; 3 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 31 
8520; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
8558; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 3 
8560; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
8573; -   ; -   ; -   ; -   ; 1 ; 3 ; 2 ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
8606; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
8634; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
8638; -   ; 1 ; -   ; -   ; -   ; 3 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 8 
8685; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
8758; -   ; 1 ; 1 ; 2 ; 7 ; 31 ; 46 ; 26 ; 15 ; 9 ; 5 ; 5 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; 151 
8832; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
11001; 5 ; 1 ; 1 ; 37 ; 48 ; 218 ; 200 ; 157 ; 132 ; 77 ; 59 ; 39 ; 31 ; 12 ; 11 ; 8 ; -   ; 4 ; 1.040 
13006; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13042; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 3 
13052; -   ; -   ; 1 ; -   ; -   ; 2 ; 2 ; 7 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 16 
13074; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
13001; -   ; -   ; -   ; 8 ; 19 ; 42 ; 51 ; 39 ; 26 ; 20 ; 7 ; 10 ; 5 ; 3 ; 3 ; -   ; -   ; -   ; 233 
13188; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13222; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 5 
13212; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
13244; -   ; -   ; -   ; 1 ; 2 ; 4 ; 5 ; 1 ; 2 ; 2 ; 2 ; 1 ; -   ; 2 ; 1 ; -   ; -   ; -   ; 23 
13300; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
13430; -   ; 1 ; -   ; 3 ; 1 ; 3 ; 1 ; 2 ; 2 ; 2 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 19 
13433; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
13442; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 3 ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
13468; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
13458; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; 2 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 8 
