CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
73067; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 4 
73124; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
73148; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
73152; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 
73168; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 7 
73200; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
73217; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
73226; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
73268; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 2 ; 3 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 11 
73270; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
73275; -   ; -   ; -   ; 1 ; -   ; 3 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
73283; -   ; -   ; -   ; -   ; -   ; 3 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 8 
73319; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
73347; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 
73349; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
73001; -   ; -   ; 2 ; 5 ; 1 ; 14 ; 11 ; 11 ; 4 ; 3 ; 4 ; 1 ; 3 ; 2 ; -   ; -   ; 1 ; 1 ; 63 
73352; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 
73408; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
73411; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
73449; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
73461; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
73483; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
73504; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 
73520; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 
73555; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 2 ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
73563; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
73585; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 3 
73616; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 4 
73622; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
73624; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; 9 
73671; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 3 
73675; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 2 
73678; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 5 
73443; -   ; -   ; -   ; 1 ; -   ; 2 ; 5 ; 4 ; -   ; 1 ; 2 ; -   ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 19 
73686; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
73854; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
73861; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
76020; -   ; -   ; -   ; -   ; -   ; 3 ; 4 ; 2 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
76036; -   ; -   ; -   ; -   ; 1 ; 2 ; 5 ; 1 ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
76041; -   ; -   ; -   ; 1 ; 1 ; 1 ; 2 ; 1 ; 2 ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 12 
76054; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
76100; -   ; -   ; -   ; -   ; -   ; 2 ; 3 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 9 
76109; -   ; -   ; -   ; 4 ; 4 ; 18 ; 20 ; 13 ; 7 ; 5 ; 2 ; 6 ; -   ; -   ; 1 ; 1 ; -   ; -   ; 81 
76113; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; 1 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
76122; -   ; -   ; -   ; 1 ; 2 ; 3 ; 1 ; 1 ; -   ; 1 ; 2 ; 3 ; 1 ; 2 ; -   ; -   ; -   ; -   ; 17 
76001; 2 ; -   ; 5 ; 51 ; 57 ; 220 ; 183 ; 129 ; 97 ; 50 ; 36 ; 32 ; 28 ; 17 ; 9 ; 3 ; 3 ; 2 ; 924 
76126; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 6 
76130; -   ; -   ; 3 ; 6 ; 11 ; 14 ; 9 ; 7 ; 5 ; 1 ; 3 ; 1 ; 5 ; 2 ; -   ; -   ; -   ; -   ; 67 
76147; -   ; -   ; 1 ; -   ; -   ; 6 ; 9 ; 5 ; 4 ; 4 ; 2 ; 2 ; 4 ; 2 ; 1 ; -   ; -   ; -   ; 40 
76233; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; 2 ; 2 ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 13 
76243; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; -   ; 1 ; -   ; 2 ; 1 ; -   ; -   ; -   ; 8 
76246; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; 1 ; 4 ; 1 ; -   ; -   ; -   ; -   ; 10 
76248; -   ; -   ; -   ; 2 ; 1 ; 10 ; 3 ; 4 ; 1 ; 1 ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; 26 
76250; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; 3 ; 1 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 13 
76275; -   ; -   ; -   ; 1 ; -   ; 7 ; 6 ; 10 ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; 29 
76306; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
76318; -   ; 1 ; -   ; -   ; -   ; 6 ; 4 ; 2 ; 1 ; 3 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 20 
76111; -   ; -   ; -   ; 3 ; 1 ; 18 ; 9 ; 9 ; 8 ; 2 ; 6 ; 1 ; 1 ; -   ; 1 ; 2 ; -   ; -   ; 61 
76364; -   ; -   ; -   ; 2 ; 6 ; 19 ; 15 ; 10 ; 12 ; 5 ; 3 ; 5 ; 6 ; 3 ; 1 ; 2 ; -   ; -   ; 89 
76377; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
76400; -   ; -   ; -   ; 4 ; 2 ; 11 ; 6 ; 6 ; 2 ; 3 ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 38 
76403; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
76497; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 6 
76520; -   ; -   ; -   ; 2 ; 5 ; 25 ; 13 ; 18 ; 14 ; 10 ; 2 ; 3 ; 4 ; 4 ; 2 ; -   ; -   ; -   ; 102 
76563; -   ; -   ; 1 ; 1 ; 5 ; 7 ; 3 ; 1 ; 4 ; 3 ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; -   ; 29 
76606; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 7 
76616; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 3 
76622; -   ; -   ; -   ; 2 ; 2 ; 3 ; 7 ; -   ; 2 ; 3 ; 4 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 24 
76670; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 10 
76736; -   ; -   ; -   ; -   ; 1 ; 3 ; 1 ; 4 ; 1 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 13 
76823; -   ; -   ; -   ; -   ; 2 ; 2 ; 4 ; 1 ; -   ; 2 ; 3 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 15 
76828; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; 2 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 11 
76834; 1 ; 1 ; -   ; 6 ; 10 ; 30 ; 32 ; 25 ; 13 ; 13 ; 6 ; 6 ; 3 ; 2 ; -   ; 1 ; 3 ; 1 ; 153 
76863; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 3 
76869; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
76890; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 6 
76892; -   ; -   ; 1 ; 4 ; 6 ; 16 ; 17 ; 10 ; 9 ; 1 ; 3 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; 71 
76895; -   ; -   ; -   ; -   ; 3 ; 8 ; 6 ; 4 ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 25 
97001; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
99773; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
99001; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; 2 ; 2 ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 10 
0; 44 ; 18 ; 77 ; 437 ; 663 ; 2.298 ; 2.138 ; 1.680 ; 1.197 ; 821 ; 584 ; 477 ; 362 ; 255 ; 132 ; 75 ; 37 ; 31 ; 11.326 
