CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
17174,Chinchiná,-,14,14,-,1,1,-,-,-,15,0,74.42849548112706,55.863692590080205,0,4.720766652504366,3.675659780930677,-,-,-,28.698796563797426
17272,Filadelfia,-,2,2,-,-,-,-,-,-,2,0,47.05882352941177,34.940600978336825,0,0,0,-,-,-,17.543859649122805
17380,La Dorada,1,11,12,-,3,3,-,-,-,15,9.837678307919331,42.78657279551908,33.45040976751965,0,10.678436676870506,7.867407951326969,-,-,-,20.268626868091776
17001,Manizales,3,40,43,-,2,2,-,-,-,45,6.437768240343348,24.44181016046048,20.451453955691687,0,1.0498246792785604,0.8477953083007639,-,-,-,10.08606777837547
17442,Marmato,-,5,5,-,1,1,-,-,-,6,0,160.3077909586406,107.15816545220746,0,32.123353678124,22.217285047767163,-,-,-,65.45216537580451
17444,Marquetalia,1,2,3,-,-,-,-,-,-,3,50.0751126690035,41.71011470281543,44.169611307420496,0,0,0,-,-,-,22.23869532987398
17446,Marulanda,-,1,1,-,-,-,-,-,-,1,0,105.48523206751054,74.51564828614009,0,0,0,-,-,-,39.308176100628934
17486,Neira,-,10,10,-,-,-,-,-,-,10,0,130.80444735120994,94.56264775413712,0,0,0,-,-,-,47.36193994506015
17495,Norcasia,-,2,2,-,1,1,-,-,-,3,0,97.94319294809011,65.59527714004591,0,46.2962962962963,32.478077297823965,-,-,-,48.95561357702349
17524,Palestina,-,6,6,-,1,1,-,-,-,7,0,103.53753235547887,75.72889057175313,0,17.50087504375219,12.88992008249549,-,-,-,44.640010203430904
17614,Riosucio,-,3,3,-,-,-,-,-,-,3,0,16.21796951021732,11.682697924374002,0,0,0,-,-,-,5.774116560166295
17616,Risaralda,-,2,2,-,-,-,-,-,-,2,0,48.816206980717595,36.18599601954044,0,0,0,-,-,-,18.925056775170326
17653,Salamina,-,2,2,-,-,-,-,-,-,2,0,27.14809284647753,20.533880903490758,0,0,0,-,-,-,10.312999535915022
17662,Samaná,1,6,7,-,-,-,-,-,-,7,32.605151613955,84.51894633046908,68.85697422781821,0,0,0,-,-,-,35.057845444984224
