 DIVIPOLA,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),TOTAL/HOMBRE/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),TOTAL/MUJER/VIOLENCIA DE PAREJA (CASOS),/TOTAL/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA DE PAREJA (TASAS)
50573,Puerto López,0.0,4.0,4.0,1.0,34.0,35.0,39.0,0.0,39.96403237086622,32.33891179561808,46.27487274409995,341.5369161225515,288.87421591284254,159.28119256687768
50590,Puerto Rico,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.78093197643278,21.45002145002145,9.597850081581726
50606,Restrepo,0.0,2.0,2.0,0.0,14.0,14.0,16.0,0.0,30.427506465845124,25.4323499491353,0.0,210.49466245677343,178.79948914431674,101.94978972855868
50680,San Carlos de Guaroa,0.0,2.0,2.0,1.0,15.0,16.0,18.0,0.0,45.67252797442339,37.21622627465575,104.38413361169101,387.6970793486689,331.46882121400455,176.45328889324577
50683,San Juan de Arama,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,209.35101186322402,171.52658662092625,79.44915254237289
50223,San Luis de Cubarral,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,40.14452027298274,32.927230819888045,0.0,40.19292604501608,33.63605785401951,33.277870216306155
50689,San Martín,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,51.92107995846313,43.49244318799609,44.95190146543199,22.71385090628265
50370,Uribe,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,79.36507936507937,59.916117435590174,25.7864878803507
50001,Villavicencio,0.0,90.0,90.0,17.0,685.0,702.0,792.0,0.0,47.080979284369114,39.62244215123446,50.28693131396793,337.5298726255882,296.51405907472406,170.72828980696062
50711,Vistahermosa,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,156.21948838117555,124.3008079552517,58.105752469494476
