CÓDIGOS,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/HOMBRE/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/MUJER/VIOLENCIA INTERPERSONAL (CASOS),/TOTAL/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA INTERPERSONAL (TASAS)
5809,Titiribí,-,6,6,-,1,1,7.0,0.0,148.18473697209188,113.85199240986717,0.0,23.58490566037736,18.351991191044227,65.3045993096371
5819,Toledo,-,3,3,-,1,1,4.0,0.0,171.0376282782212,112.40164855751217,0.0,63.41154090044388,42.122999157540015,79.3178663493952
5837,Turbo,7,18,25,7,30,37,62.0,26.599787201702387,49.61548002976929,39.93929227574087,27.480076944215444,71.21999857560003,54.7369666844192,47.622339485832356
5842,Uramita,-,1,1,-,1,1,2.0,0.0,43.23389537397319,28.18489289740699,0.0,45.16711833785004,29.84183825723665,28.989708653428035
5847,Urrao,4,24,28,4,9,13,41.0,74.65472191116088,239.54486475696177,182.09013461663523,76.92307692307692,87.38712496358869,83.87637912123363,132.78922140173597
5854,Valdivia,-,4,4,-,1,1,5.0,0.0,92.03865623561896,56.79397983813716,0.0,22.002200220022,14.166312508853945,35.455963693093175
5856,Valparaíso,-,1,1,-,-,-,1.0,0.0,40.86636697997548,30.469226081657528,0.0,0.0,0.0,15.451174289245982
5858,Vegachí,1,12,13,3,9,12,25.0,50.05005005005005,302.72452068617554,218.04763502180475,169.68325791855204,208.86516593177072,197.4658548625967,207.65844339230836
5861,Venecia,1,15,16,2,11,13,29.0,76.21951219512195,341.06412005457025,280.21015761821366,160.90104585679805,230.99538009239816,216.48626144879267,247.54588134869826
5873,Vigía del Fuerte,-,1,1,-,-,-,1.0,0.0,41.58004158004158,21.459227467811157,0.0,0.0,0.0,10.612331529236974
5885,Yalí,-,2,2,1,3,4,6.0,0.0,72.51631617113851,50.390526581002774,87.41258741258741,116.82242990654204,107.75862068965517,78.11482879833355
5887,Yarumal,8,45,53,1,21,22,75.0,121.06537530266344,317.97625777275294,255.2986512524085,15.295197308045275,136.54096228868661,100.3741217264349,175.7345705047097
5890,Yolombó,1,27,28,2,6,8,36.0,27.54820936639118,323.12111057922453,233.60587351910561,59.701492537313435,73.48438456827924,69.4745983499783,153.18497085230416
5893,Yondó,-,9,9,-,-,-,9.0,0.0,139.44840409048652,87.20930232558139,0.0,0.0,0.0,44.75385380407757
81,Arauca,24,290,314,12,146,158,472.0,46.20716211012707,303.1189898820972,212.71983307590168,24.01008423537886,151.1152512549811,107.78067315169788,160.43180628539187
81001,Arauca,19,196,215,6,72,78,293.0,121.85736275012826,602.9841562836486,447.01332723454686,39.47628133429831,214.80995286114924,160.1083810579469,302.6421798500217
81065,Arauquita,3,7,10,1,16,17,27.0,27.550739278170635,38.07865963118098,34.16233943700465,10.056315366049878,94.15641734831989,63.11022014329732,48.0350121866605
81220,Cravo Norte,-,6,6,1,2,3,9.0,0.0,411.80507892930683,277.5208140610546,158.9825119236884,147.92899408284023,151.4386673397274,217.23388848660392
81300,Fortul,-,9,9,-,10,10,19.0,0.0,144.02304368698992,89.51661030435648,0.0,159.28639694170118,99.06875371507827,94.3021639864999
81591,Puerto Rondón,-,3,3,-,4,4,7.0,0.0,176.3668430335097,118.01730920535012,0.0,252.52525252525254,168.27934371055954,142.3053466151657
81736,Saravena,2,41,43,2,23,25,68.0,18.38573267144696,205.15386539904927,139.32540582574603,18.41112031667127,108.09286587085253,77.78227186459662,107.9296552599835
81794,Tame,-,28,28,2,19,21,49.0,0.0,181.91268191268193,113.71943790106408,22.89639381797367,121.70125544452985,86.25292643857559,100.06330535645
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",17,159,176,8,77,85,261.0,196.19157530294285,720.3370633806007,572.5811698874357,95.69377990430623,313.0844921525575,257.93530375675186,409.7845883313446
88564,Providencia,-,-,-,-,1,1,1.0,0.0,0.0,0.0,0.0,42.84490145672665,31.113876789047914,15.976993129892954
88001,San Andrés,17,159,176,8,76,84,260.0,218.7902187902188,798.0725794308086,635.5396670638789,106.95187165775401,341.41958670260556,282.44788164088766,452.7014085978444
8,Atlántico,140,1848,1988,80,776,856,2844.0,33.73876077531672,202.84665868305538,149.9261681495883,19.93868853276176,77.99684796243285,61.31181498730072,104.47708557422722
8078,Baranoa,3,62,65,6,49,55,120.0,29.010733971569483,268.24730671050924,194.2966461409697,60.429046228220365,207.0393374741201,163.70996547208,178.97091722595079
8001,Barranquilla,82,1173,1255,39,423,462,1717.0,45.67430875832721,272.06434913301234,205.50861334905352,22.09093535286021,86.85350093526642,69.62340069623401,134.7459289778301
8137,Campo de la Cruz,1,6,7,-,1,1,8.0,23.86634844868735,79.08264136022143,59.437887407659,0.0,12.78772378516624,8.481764206955047,33.94577162982136
8141,Candelaria,-,8,8,-,1,1,9.0,0.0,142.3994304022784,91.52270907218855,0.0,17.966223499820337,11.828720132481665,52.340796743239316
8296,Galapa,4,42,46,3,15,18,64.0,34.03965619947238,192.13174748398902,136.85995656183988,27.79579356990642,66.32179334129195,53.876085004489674,95.49245758792021
8372,Juan de Acosta,1,14,15,-,2,2,17.0,27.137042062415198,173.18159327065808,127.45347947998981,0.0,25.816445075513098,18.209960848584174,74.71870604781996
8421,Luruaco,1,29,30,-,8,8,38.0,18.975332068311197,294.5358521226894,198.4652024345065,0.0,79.8801797304044,52.63850506645612,125.35462162697104
8433,Malambo,10,107,117,1,85,86,203.0,42.64210481429363,233.5071907120878,168.89453474608078,4.363572893485186,179.41952506596306,122.34678199510613,145.4508977831277
8436,Manatí,-,4,4,1,-,1,5.0,0.0,59.23293351103214,36.553047610344514,26.53223666755107,0.0,9.52471663967997,23.318720268631658
8520,Palmar de Varela,1,13,14,-,10,10,24.0,20.68680182043856,121.22342409548676,89.98585936495694,0.0,92.92816652727441,64.59948320413437,77.32456988208003
8549,Piojó,-,5,5,-,-,-,5.0,0.0,192.67822736030828,134.87995683841382,0.0,0.0,0.0,70.53180984624065
8558,Polonuevo,-,9,9,-,9,9,18.0,0.0,134.7305389221557,91.13001215066828,0.0,136.13674179397975,93.0809804529941,92.0951650038373
8560,Ponedera,1,12,13,1,9,10,23.0,21.477663230240548,141.96143381048148,99.16851018384315,23.02025782688766,108.76132930513594,79.24558205880022,89.39676616915423
