Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Antioquia , El Carmen de Viboral,5148.0,TOTAL,,0,0,6,0,0,0,0,0,0,0,0,6
Antioquia , El Santuario,5697.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Santuario,5697.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , El Santuario,5697.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , El Santuario,5697.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Santuario,5697.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Santuario,5697.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , El Santuario,5697.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Envigado,5266.0,Hombre,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Envigado,5266.0,Hombre,Mayores de Edad (>18 años),0,0,9,0,0,0,0,0,0,0,0,9
Antioquia , Envigado,5266.0,HOMBRE,TOTAL,0,0,10,0,0,0,0,0,0,0,0,10
Antioquia , Envigado,5266.0,Mujer,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Envigado,5266.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Envigado,5266.0,MUJER,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Envigado,5266.0,TOTAL,,0,0,11,0,0,0,0,0,0,0,0,11
Antioquia , Fredonia,5282.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Fredonia,5282.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Fredonia,5282.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Fredonia,5282.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Fredonia,5282.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Fredonia,5282.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Fredonia,5282.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Frontino,5284.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Frontino,5284.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Frontino,5284.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Frontino,5284.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Frontino,5284.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Frontino,5284.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Frontino,5284.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Girardota,5308.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Girardota,5308.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Girardota,5308.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Girardota,5308.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
